Call_Type,Call_Duration,IMEI,TAC,DESTINATION_CAT,MU_Device_type_Segment,MU_HANDSET_MOBILE_TECH,is_fraud
0,73.768968,13802,4647,OFF-NET,Smartphone,4G,0
1,29.318436,6096,2449,ON-NET,Smartphone,4G,0
1,52.01658,13959,4678,ON-NET,Smartphone,4G,0
1,653.517396,10138,3737,ON-NET,Smartphone,4G,0
6,2.0,11243,4011,OFF-NET,Smartphone,4G,0
0,136.188864,12889,4459,OFF-NET,Smartphone,4G,0
1,17.969364,13570,4621,ON-NET,Smartphone,4G,0
1,2247.116256,4042,1597,ON-NET,Smartphone,2G,0
7,2.0,6759,2724,OTA-SHORT,Smartphone,4G,0
7,2.0,5564,2228,ON-NET,Smartphone,4G,0
1,31.209948,2806,1231,ON-NET,Basic & Feature Phone,2G,0
1,63.365652,10138,3737,ON-NET,Smartphone,4G,0
7,2.0,11983,4206,OTA-SHORT,Smartphone,4G,0
7,2.0,1613,804,OTA-SHORT,Basic & Feature Phone,2G,0
7,2.0,13074,4509,OTA-SHORT,Smartphone,4G,0
6,2.0,15979,5176,ON-NET,Smartphone,4G,0
7,2.0,11854,4180,INTERNATIONAL,Smartphone,4G,0
7,2.0,13074,4509,OTA-SHORT,Smartphone,4G,0
1,4.72878,5069,2037,OFF-NET,Smartphone,4G,0
7,2.0,351,390,INTERNATIONAL,Basic & Feature Phone,2G,0
7,2.0,14430,4798,OTA-SHORT,Smartphone,4G,0
7,2.0,4881,1972,INTERNATIONAL,Smartphone,4G,0
7,2.0,4902,1980,ON-NET,Smartphone,4G,0
7,2.0,6931,2820,OTA-SHORT,Basic & Feature Phone,2G,0
7,2.0,7085,2875,OTA-SHORT,Smartphone,4G,0
7,2.0,10064,3722,OTA-SHORT,Smartphone,4G,0
7,2.0,804,528,OTA-SHORT,Basic & Feature Phone,2G,0
6,2.0,16468,5296,OFF-NET,Smartphone,4G,0
1,8.511804,8115,3211,OFF-NET,Tablet,3G,0
0,105.924672,10352,3802,ON-NET,Smartphone,4G,0
7,2.0,1823,873,INTERNATIONAL,Smartphone,4G,0
7,2.0,3466,1422,OTA-SHORT,Smartphone,4G,0
0,29.318436,3394,1387,ON-NET,Smartphone,4G,0
7,2.0,8958,3473,ON-NET,Smartphone,4G,0
7,2.0,2054,955,INTERNATIONAL,Smartphone,4G,0
1,17.969364,15667,5097,ON-NET,Smartphone,4G,0
1,20.806632,5702,2287,OFF-NET,Basic & Feature Phone,2G,0
0,17.023608,3466,1422,ON-NET,Smartphone,4G,0
0,13.240584,14916,4905,ON-NET,Smartphone,4G,0
7,2.0,1743,846,INTERNATIONAL,Basic & Feature Phone,2G,0
0,12.294828,3466,1422,ON-NET,Smartphone,4G,0
7,2.0,3205,1335,INTERNATIONAL,Basic & Feature Phone,2G,0
0,17.023608,10033,3708,OFF-NET,Smartphone,4G,0
1,40.667508,6664,2689,OFF-NET,Smartphone,4G,0
7,2.0,13185,4538,INTERNATIONAL,Smartphone,4G,0
7,2.0,13904,4666,INTERNATIONAL,Smartphone,4G,0
1,22.698144,13423,4600,OFF-NET,Smartphone,4G,0
7,2.0,14307,4771,OTA-SHORT,Smartphone,4G,0
7,2.0,10220,3764,INTERNATIONAL,Smartphone,4G,0
7,2.0,4012,1590,INTERNATIONAL,Basic & Feature Phone,2G,0
6,2.0,10138,3737,ON-NET,Smartphone,4G,0
7,2.0,11144,3992,OTA-SHORT,Smartphone,4G,0
7,2.0,5691,2285,OTA-SHORT,Smartphone,4G,0
6,2.0,1040,613,OFF-NET,Smartphone,4G,0
7,2.0,15580,5072,INTERNATIONAL,Smartphone,4G,0
0,17.969364,1846,886,ON-NET,Basic & Feature Phone,2G,0
7,2.0,11133,3992,OTA-SHORT,Smartphone,4G,0
0,137.13462,7444,2979,ON-NET,Smartphone,4G,0
7,2.0,12695,4405,INTERNATIONAL,Smartphone,4G,0
0,24.589656,3466,1422,ON-NET,Smartphone,4G,0
6,2.0,9978,3701,ON-NET,Smartphone,4G,0
7,2.0,3356,1376,INTERNATIONAL,Basic & Feature Phone,2G,0
7,2.0,8873,3459,OTA-SHORT,Basic & Feature Phone,2G,0
0,17.023608,16953,5426,OFF-NET,Smartphone,4G,0
1,504.087948,13533,4614,OFF-NET,Smartphone,4G,0
0,5.674536,5106,2053,OFF-NET,Smartphone,4G,0
1,8.511804,1919,911,ON-NET,Smartphone,4G,0
0,11.349072,16469,5296,OFF-NET,Smartphone,4G,0
0,261.028656,12427,4338,ON-NET,Smartphone,4G,0
7,2.0,12840,4443,OTA-SHORT,Smartphone,4G,0
7,2.0,1155,639,OTA-SHORT,Basic & Feature Phone,2G,0
1,21.752388,8510,3355,OFF-NET,Basic & Feature Phone,4G,0
1,50.125068,3879,1538,ON-NET,Smartphone,3G,0
0,69.040188,8617,3374,OFF-NET,Smartphone,4G,0
0,32.155704,182,340,ON-NET,Smartphone,4G,0
7,2.0,12013,4221,INTERNATIONAL,Smartphone,4G,0
1,18.91512,9167,3531,ON-NET,Smartphone,4G,0
0,35.938728,16965,5429,OFF-NET,Smartphone,4G,0
0,56.74536,2300,1037,ON-NET,Smartphone,4G,0
1,31.209948,12300,4300,OFF-NET,Smartphone,4G,0
0,10.403316,13879,4664,OFF-NET,Smartphone,4G,0
0,9.45756,12529,4359,ON-NET,Smartphone,4G,0
1,13.240584,15419,5031,ON-NET,Smartphone,4G,0
7,2.0,1239,669,ON-NET,Smartphone,4G,0
0,12.294828,16965,5429,ON-NET,Smartphone,4G,0
0,46.342044,12438,4343,OFF-NET,Smartphone,4G,0
0,34.047216,4694,1873,OFF-NET,Basic & Feature Phone,2G,0
0,8.511804,5689,2283,ON-NET,Basic & Feature Phone,2G,0
0,20.806632,5689,2283,ON-NET,Basic & Feature Phone,2G,0
0,12.294828,13879,4664,ON-NET,Smartphone,4G,0
7,2.0,16565,5328,ON-NET,Smartphone,4G,0
6,2.0,16565,5328,ON-NET,Smartphone,4G,0
1,31.209948,7993,3161,OFF-NET,Basic & Feature Phone,2G,0
7,2.0,8900,3464,INTERNATIONAL,Smartphone,4G,0
6,2.0,13128,4522,ON-NET,Smartphone,4G,0
6,2.0,8617,3374,OFF-NET,Smartphone,4G,0
7,2.0,4633,1860,OTA-SHORT,Smartphone,4G,0
7,2.0,4633,1860,OTA-SHORT,Smartphone,4G,0
7,2.0,10190,3750,INTERNATIONAL,Smartphone,4G,0
1,36.884484,2720,1207,ON-NET,Smartphone,4G,0
1,14.18634,4931,1986,ON-NET,Smartphone,4G,0
7,2.0,10105,3730,OTA-SHORT,Smartphone,4G,0
7,2.0,8617,3374,OFF-NET,Smartphone,4G,0
1,15.132096,6360,2594,ON-NET,Smartphone,4G,0
1,17.023608,10307,3790,OFF-NET,Smartphone,4G,0
6,2.0,6505,2642,ON-NET,Basic & Feature Phone,2G,0
0,28.37268,12054,4227,OFF-NET,Smartphone,4G,0
0,6.620292,5720,2287,OFF-NET,Basic & Feature Phone,2G,0
6,2.0,550,440,OFF-NET,Smartphone,4G,0
7,2.0,712,495,INTERNATIONAL,Smartphone,4G,0
7,2.0,481,430,INTERNATIONAL,Smartphone,4G,0
6,2.0,10985,3943,ON-NET,Smartphone,4G,0
0,29.318436,14717,4853,ON-NET,Smartphone,4G,0
0,1.891512,11539,4111,OFF-NET,Smartphone,4G,0
0,16.077852,4305,1709,ON-NET,Smartphone,4G,0
1,30.264192,8092,3211,OFF-NET,Tablet,3G,0
7,2.0,14409,4797,OTA-SHORT,Smartphone,4G,0
0,25.535412,1006,600,OFF-NET,Smartphone,4G,0
7,2.0,8699,3408,OTA-SHORT,Smartphone,4G,0
1,17.969364,13969,4680,ON-NET,Smartphone,4G,0
7,2.0,9729,3665,OFF-NET,Smartphone,4G,0
0,15.132096,4000,1589,ON-NET,Basic & Feature Phone,2G,0
7,2.0,4973,1994,OTA-SHORT,Smartphone,4G,0
0,7.566048,7871,3110,ON-NET,Smartphone,4G,0
1,6.620292,1002,598,ON-NET,Basic & Feature Phone,2G,0
6,2.0,15937,5156,ON-NET,Smartphone,4G,0
7,2.0,10272,3778,OTA-SHORT,Smartphone,4G,0
100,5.674536,5053,2029,OTA-SHORT,Smartphone,4G,0
0,8.511804,8587,3368,ON-NET,Basic & Feature Phone,2G,0
7,2.0,8726,3424,OTA-SHORT,Smartphone,4G,0
0,53.908092,2785,1231,ON-NET,Basic & Feature Phone,2G,0
6,2.0,13833,4651,ON-NET,Smartphone,4G,0
0,99.30438,5891,2350,ON-NET,Smartphone,3G,0
0,45.396288,13406,4596,OFF-NET,Smartphone,4G,0
0,57.691116,16347,5280,OFF-NET,Smartphone,4G,0
7,2.0,7530,3006,OTA-SHORT,Smartphone,4G,0
7,2.0,7530,3006,INTERNATIONAL,Smartphone,4G,0
1,17.023608,3886,1544,ON-NET,Basic & Feature Phone,2G,0
0,180.639396,3657,1483,ON-NET,Smartphone,4G,0
0,44.450532,14914,4903,ON-NET,Smartphone,4G,0
1,11.349072,15912,5149,ON-NET,Smartphone,4G,0
0,39.721752,10975,3942,ON-NET,Smartphone,4G,0
0,73.768968,822,540,ON-NET,Smartphone,4G,0
0,34.047216,10887,3929,ON-NET,Smartphone,4G,0
1,25.535412,5065,2036,OFF-NET,Smartphone,4G,0
7,2.0,15315,5002,INTERNATIONAL,Smartphone,4G,0
6,2.0,5014,2004,OTA-SHORT,Smartphone,4G,0
0,43.504776,16878,5410,ON-NET,Smartphone,4G,0
1,12.294828,2677,1203,ON-NET,Smartphone,4G,0
1,2.837268,7798,3070,ON-NET,Basic & Feature Phone,2G,0
7,2.0,4686,1872,OTA-SHORT,Smartphone,4G,0
0,782.140212,1151,639,ON-NET,Basic & Feature Phone,2G,0
1,249.679584,15877,5143,ON-NET,Smartphone,4G,0
7,2.0,4686,1872,OTA-SHORT,Smartphone,4G,0
0,20.806632,665,479,ON-NET,Smartphone,4G,0
6,2.0,14767,4862,ON-NET,Smartphone,4G,0
7,2.0,13969,4680,OTA-SHORT,Smartphone,4G,0
7,2.0,12125,4252,OTA-SHORT,Smartphone,4G,0
0,17.023608,6162,2493,ON-NET,Basic & Feature Phone,2G,0
7,2.0,9978,3701,ON-NET,Smartphone,4G,0
0,493.684632,8621,3374,ON-NET,Smartphone,4G,0
0,9.45756,2895,1252,OFF-NET,Smartphone,4G,0
1,241.16778,389,403,ON-NET,Smartphone,4G,0
6,2.0,4686,1872,OTA-SHORT,Smartphone,4G,0
0,21.752388,2720,1207,ON-NET,Smartphone,4G,0
1,15.132096,1302,677,OFF-NET,Basic & Feature Phone,2G,0
0,74.714724,9089,3520,ON-NET,Smartphone,4G,0
1,18.91512,2538,1144,OFF-NET,Smartphone,4G,0
7,2.0,4686,1872,OTA-SHORT,Smartphone,4G,0
1,6.620292,11107,3980,ON-NET,Smartphone,4G,0
6,2.0,9978,3701,ON-NET,Smartphone,4G,0
6,2.0,12007,4217,ON-NET,Smartphone,4G,0
1,72.823212,14845,4885,ON-NET,Smartphone,4G,0
1,29.318436,12528,4359,ON-NET,Smartphone,4G,0
6,2.0,16184,5230,ON-NET,Smartphone,4G,0
1,462.474684,13447,4605,ON-NET,Smartphone,4G,0
0,94.5756,9743,3669,OFF-NET,Smartphone,4G,0
0,0.945756,15698,5101,ON-NET,Smartphone,4G,0
7,2.0,8719,3421,OTA-SHORT,Basic & Feature Phone,2G,0
0,2804.16654,10985,3943,ON-NET,Smartphone,4G,0
0,54.853848,4561,1840,OFF-NET,Basic & Feature Phone,2G,0
6,2.0,2323,1054,OFF-NET,Smartphone,4G,0
7,2.0,11561,4112,OTA-SHORT,Smartphone,4G,0
1,50.125068,13374,4589,ON-NET,Smartphone,4G,0
0,22.698144,9376,3567,ON-NET,Basic & Feature Phone,2G,0
0,27.426924,4483,1800,OFF-NET,Smartphone,4G,0
1,27.426924,156,332,ON-NET,Basic & Feature Phone,2G,0
6,2.0,9706,3661,OFF-NET,Smartphone,4G,0
6,2.0,9706,3661,OFF-NET,Smartphone,4G,0
7,2.0,6167,2498,INTERNATIONAL,Smartphone,4G,0
1,179.69364,8791,3446,ON-NET,Basic & Feature Phone,2G,0
0,406.67508,4680,1868,ON-NET,Smartphone,4G,0
0,33.10146,1566,792,OFF-NET,Smartphone,4G,0
1,1.891512,665,479,ON-NET,Smartphone,4G,0
1,7.566048,821,540,ON-NET,Smartphone,4G,0
0,160.77852,9376,3567,ON-NET,Basic & Feature Phone,2G,0
7,2.0,8726,3424,OTA-SHORT,Smartphone,4G,0
1,11.349072,9607,3644,ON-NET,Smartphone,4G,0
1,44.450532,6103,2452,ON-NET,Smartphone,4G,0
1,75.66048,10143,3738,ON-NET,Smartphone,4G,0
1,32.155704,13470,4607,OFF-NET,Smartphone,3G,0
1,87.955308,5508,2208,OFF-NET,Smartphone,4G,0
0,413.295372,2412,1093,ON-NET,Basic & Feature Phone,2G,0
0,31.209948,5743,2289,OFF-NET,Smartphone,4G,0
1,158.887008,8643,3375,OFF-NET,Smartphone,4G,0
6,2.0,10158,3744,ON-NET,Smartphone,4G,0
0,17.969364,13406,4596,OFF-NET,Smartphone,4G,0
1,10.403316,5499,2201,OFF-NET,Basic & Feature Phone,2G,0
0,161.724276,1276,674,ON-NET,Basic & Feature Phone,2G,0
1,261.974412,14750,4859,ON-NET,Smartphone,4G,0
1,17.023608,7042,2854,ON-NET,Smartphone,4G,0
7,2.0,10158,3744,ON-NET,Smartphone,4G,0
7,2.0,14654,4847,INTERNATIONAL,Smartphone,4G,0
1,51.070824,10424,3819,ON-NET,Smartphone,4G,0
7,2.0,1271,674,OTA-SHORT,Basic & Feature Phone,2G,0
6,2.0,13035,4497,ON-NET,Smartphone,4G,0
7,2.0,2736,1213,OTA-SHORT,Basic & Feature Phone,2G,0
1,33.10146,8993,3481,ON-NET,Basic & Feature Phone,2G,0
7,2.0,16192,5230,OTA-SHORT,Smartphone,4G,0
7,2.0,13229,4543,OTA-SHORT,Smartphone,4G,0
6,2.0,12685,4398,OFF-NET,Smartphone,4G,0
1,17.023608,3623,1475,ON-NET,Smartphone,4G,0
1,13.240584,2093,960,OFF-NET,Basic & Feature Phone,2G,0
7,2.0,3999,1589,OTA-SHORT,Basic & Feature Phone,2G,0
1,7.566048,4094,1628,OFF-NET,Basic & Feature Phone,2G,0
0,407.620836,10724,3900,ON-NET,Smartphone,4G,0
0,16.077852,3102,1282,ON-NET,Smartphone,4G,0
0,665.812224,10751,3902,ON-NET,Smartphone,4G,0
1,39.721752,7590,3013,OFF-NET,Smartphone,4G,0
0,25.535412,9628,3644,OFF-NET,Smartphone,4G,0
1,109.707696,5504,2205,OFF-NET,Smartphone,4G,0
7,2.0,2275,1022,INTERNATIONAL,Smartphone,4G,0
0,42.55902,12313,4305,OFF-NET,Smartphone,4G,0
0,169.290324,6485,2642,OFF-NET,Basic & Feature Phone,2G,0
1,14.18634,835,546,ON-NET,Smartphone,4G,0
1,19.860876,11302,4036,OFF-NET,Smartphone,4G,0
1,16.077852,13786,4646,OFF-NET,Smartphone,4G,0
7,2.0,14273,4761,ON-NET,Smartphone,4G,0
1,8.511804,1632,804,ON-NET,Basic & Feature Phone,2G,0
7,2.0,2650,1202,INTERNATIONAL,Smartphone,4G,0
0,110.653452,15239,4985,ON-NET,Smartphone,4G,0
1,29.318436,1398,714,ON-NET,Smartphone,4G,0
0,2.837268,11194,4002,ON-NET,Smartphone,4G,0
7,2.0,15900,5146,INTERNATIONAL,Smartphone,4G,0
1,92.684088,2214,1005,ON-NET,Smartphone,4G,0
1,17.969364,8275,3265,ON-NET,Basic & Feature Phone,2G,0
7,2.0,11411,4070,OTA-SHORT,Smartphone,4G,0
7,2.0,13067,4509,ON-NET,Smartphone,4G,0
7,2.0,11605,4120,ON-NET,Smartphone,4G,0
1,86.063796,12597,4367,ON-NET,Smartphone,4G,0
1,1862.193564,13676,4624,ON-NET,Smartphone,4G,0
7,2.0,16361,5284,OTA-SHORT,Smartphone,4G,0
1,26.481168,3672,1491,ON-NET,Smartphone,4G,0
0,131.460084,14982,4919,OFF-NET,Smartphone,4G,0
0,218.469636,16836,5405,ON-NET,Smartphone,4G,0
7,2.0,7925,3125,OTA-SHORT,Basic & Feature Phone,2G,0
1,15.132096,16011,5185,ON-NET,Smartphone,4G,0
1,22.698144,3241,1340,OFF-NET,Basic & Feature Phone,2G,0
0,41.613264,11194,4002,ON-NET,Smartphone,4G,0
0,76.606236,11691,4137,OFF-NET,Smartphone,4G,0
7,2.0,1740,845,OTA-SHORT,Smartphone,4G,0
1,31.209948,15608,5080,OFF-NET,Smartphone,4G,0
7,2.0,11815,4171,OTA-SHORT,Smartphone,4G,0
0,11.349072,13240,4548,OFF-NET,Smartphone,4G,0
6,2.0,13980,4680,OFF-NET,Smartphone,4G,0
1,43.504776,14418,4798,ON-NET,Smartphone,4G,0
1,18.91512,8692,3405,OFF-NET,Smartphone,4G,0
1,14.18634,16230,5244,OFF-NET,Smartphone,4G,0
0,56.74536,14090,4711,ON-NET,Smartphone,4G,0
0,928.732392,11401,4065,ON-NET,Smartphone,4G,0
1,101.195892,3300,1355,ON-NET,Smartphone,4G,0
0,30.264192,11691,4137,ON-NET,Smartphone,4G,0
0,88.901064,6146,2485,ON-NET,Smartphone,4G,0
0,44.450532,13075,4509,ON-NET,Smartphone,4G,0
0,3.783024,9074,3514,ON-NET,Basic & Feature Phone,2G,0
1,13.240584,6893,2807,ON-NET,Smartphone,4G,0
1,13.240584,14169,4740,OFF-NET,Smartphone,4G,0
0,9.45756,7305,2947,ON-NET,Basic & Feature Phone,2G,0
0,56.74536,6450,2631,ON-NET,Basic & Feature Phone,2G,0
0,142.809156,10499,3840,ON-NET,Smartphone,4G,0
1,9.45756,16193,5231,ON-NET,Smartphone,4G,0
7,2.0,12887,4459,OTA-SHORT,Smartphone,4G,0
0,66.20292,12955,4470,ON-NET,Smartphone,4G,0
1,1725.058944,2320,1052,ON-NET,Smartphone,4G,0
7,2.0,13754,4641,OTA-SHORT,Smartphone,4G,0
0,7.566048,15560,5068,ON-NET,Smartphone,4G,0
0,149.429448,6719,2711,ON-NET,Smartphone,4G,0
7,2.0,12111,4247,OTA-SHORT,Smartphone,4G,0
0,30.264192,13128,4522,ON-NET,Smartphone,4G,0
7,2.0,9090,3521,OTA-SHORT,Smartphone,3G,0
7,2.0,16799,5394,INTERNATIONAL,Smartphone,4G,0
0,78.497748,14371,4787,OFF-NET,Smartphone,4G,0
1,32.155704,12077,4235,ON-NET,Smartphone,4G,0
0,326.28582,318,377,ON-NET,Smartphone,4G,0
7,2.0,16508,5312,OTA-SHORT,Smartphone,4G,0
7,2.0,10769,3902,OTA-SHORT,Smartphone,4G,0
1,30.264192,12091,4238,ON-NET,Smartphone,4G,0
0,21.752388,5553,2223,ON-NET,Smartphone,3G,0
6,2.0,9706,3661,ON-NET,Smartphone,4G,0
1,313.045236,6005,2399,OFF-NET,Basic & Feature Phone,2G,0
1,36.884484,5229,2080,ON-NET,Smartphone,4G,0
1,31.209948,376,399,OFF-NET,Smartphone,4G,0
7,2.0,15286,4996,INTERNATIONAL,Smartphone,4G,0
0,155.103984,16376,5287,OFF-NET,Smartphone,4G,0
0,617.578668,7538,3010,ON-NET,Basic & Feature Phone,2G,0
1,27.426924,1498,765,ON-NET,Smartphone,4G,0
7,2.0,13391,4594,OTA-SHORT,Smartphone,4G,0
1,47.2878,829,544,ON-NET,Smartphone,4G,0
1,14.18634,12995,4479,OFF-NET,Smartphone,4G,0
1,326.28582,10551,3854,ON-NET,Smartphone,4G,0
1,52.962336,891,564,ON-NET,Smartphone,4G,0
1,27.426924,4276,1696,ON-NET,Smartphone,4G,0
7,2.0,2384,1083,INTERNATIONAL,Smartphone,4G,0
1,9.45756,8572,3368,OFF-NET,Basic & Feature Phone,2G,0
0,70.9317,9319,3565,ON-NET,Basic & Feature Phone,2G,0
1,35.938728,2226,1009,ON-NET,Smartphone,4G,0
6,2.0,6015,2403,ON-NET,Smartphone,4G,0
7,2.0,15167,4961,ON-NET,Smartphone,4G,0
6,2.0,6015,2403,ON-NET,Smartphone,4G,0
0,92.684088,6048,2419,ON-NET,Basic & Feature Phone,2G,0
0,13.240584,14224,4746,ON-NET,Smartphone,4G,0
0,31.209948,2275,1022,ON-NET,Smartphone,4G,0
1,31.209948,14590,4827,ON-NET,Smartphone,4G,0
6,2.0,5564,2228,ON-NET,Smartphone,4G,0
0,66.20292,5014,2004,ON-NET,Smartphone,4G,0
0,17.969364,3505,1439,ON-NET,Smartphone,4G,0
0,40.667508,14539,4813,ON-NET,Smartphone,4G,0
1,2.837268,10170,3744,OFF-NET,Smartphone,4G,0
0,25.535412,508,433,ON-NET,Smartphone,4G,0
0,429.373224,13941,4673,ON-NET,Smartphone,4G,0
1,474.769512,2323,1054,ON-NET,Smartphone,4G,0
0,29.318436,16290,5265,ON-NET,Smartphone,4G,0
0,20.806632,2162,979,ON-NET,Smartphone,4G,0
0,52.962336,15453,5040,OFF-NET,Smartphone,4G,0
7,2.0,7352,2958,OTA-SHORT,Smartphone,4G,0
0,12.294828,2214,1005,ON-NET,Smartphone,4G,0
7,2.0,7382,2968,OTA-SHORT,Basic & Feature Phone,2G,0
1,434.102004,9251,3539,ON-NET,Smartphone,4G,0
7,2.0,17026,5455,OTA-SHORT,Smartphone,4G,0
0,22.698144,376,399,ON-NET,Smartphone,4G,0
1,49.179312,16217,5240,OFF-NET,Smartphone,4G,0
7,2.0,1781,858,INTERNATIONAL,Basic & Feature Phone,2G,0
