Call_Type,Call_Duration,IMEI,TAC,DESTINATION_CAT,MU_Device_type_Segment,MU_HANDSET_MOBILE_TECH,is_fraud
6,2.0,14097,158,ON-NET,Smartphone,4G,1
6,2.0,13327,134,ON-NET,Smartphone,4G,1
6,2.0,10263,33,ON-NET,Smartphone,4G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,9921,20,ON-NET,Smartphone,4G,1
6,2.0,14097,158,ON-NET,Smartphone,4G,1
6,2.0,13327,134,ON-NET,Smartphone,4G,1
6,2.0,206,5489,ON-NET,Smartphone,3G,1
6,2.0,10263,33,ON-NET,Smartphone,4G,1
6,2.0,13327,134,ON-NET,Smartphone,4G,1
6,2.0,206,5489,ON-NET,Smartphone,3G,1
6,2.0,206,5489,ON-NET,Smartphone,3G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,14097,158,ON-NET,Smartphone,4G,1
6,2.0,13417,139,ON-NET,Smartphone,4G,1
6,2.0,206,5489,ON-NET,Smartphone,3G,1
6,2.0,10263,33,ON-NET,Smartphone,4G,1
6,2.0,13327,134,ON-NET,Smartphone,4G,1
6,2.0,13417,139,ON-NET,Smartphone,4G,1
0,17.023608,368,5497,OFF-NET,Smartphone,4G,1
6,2.0,14097,158,ON-NET,Smartphone,4G,1
6,2.0,14097,158,ON-NET,Smartphone,4G,1
7,2.0,10958,50,OTA-SHORT,Smartphone,4G,1
0,39.721752,12347,100,OFF-NET,Smartphone,4G,1
6,2.0,206,5489,ON-NET,Smartphone,3G,1
6,2.0,10263,33,ON-NET,Smartphone,4G,1
6,2.0,13327,134,ON-NET,Smartphone,4G,1
0,64.311408,2098,5575,OFF-NET,Basic & Feature Phone,2G,1
6,2.0,14097,158,ON-NET,Smartphone,4G,1
7,2.0,10309,35,INTERNATIONAL,Smartphone,4G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,206,5489,ON-NET,Smartphone,3G,1
6,2.0,15696,210,ON-NET,Smartphone,4G,1
6,2.0,1796,5563,ON-NET,Smartphone,4G,1
6,2.0,8354,5771,ON-NET,Smartphone,4G,1
6,2.0,10263,33,ON-NET,Smartphone,4G,1
6,2.0,14097,158,ON-NET,Smartphone,4G,1
6,2.0,13327,134,ON-NET,Smartphone,4G,1
6,2.0,1796,5563,ON-NET,Smartphone,4G,1
7,2.0,206,5489,OTA-SHORT,Smartphone,3G,1
6,2.0,13417,139,ON-NET,Smartphone,4G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,13327,134,ON-NET,Smartphone,4G,1
6,2.0,13417,139,ON-NET,Smartphone,4G,1
6,2.0,15696,210,ON-NET,Smartphone,4G,1
6,2.0,14097,158,ON-NET,Smartphone,4G,1
6,2.0,206,5489,ON-NET,Smartphone,3G,1
6,2.0,9921,20,ON-NET,Smartphone,4G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,9921,20,ON-NET,Smartphone,4G,1
6,2.0,8354,5771,ON-NET,Smartphone,4G,1
6,2.0,206,5489,ON-NET,Smartphone,3G,1
6,2.0,1796,5563,ON-NET,Smartphone,4G,1
6,2.0,13417,139,ON-NET,Smartphone,4G,1
6,2.0,150,5485,ON-NET,Smartphone,4G,1
6,2.0,13327,134,ON-NET,Smartphone,4G,1
6,2.0,14097,158,ON-NET,Smartphone,4G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,206,5489,ON-NET,Smartphone,3G,1
7,2.0,14769,179,ON-NET,Modem,3G,1
6,2.0,1796,5563,ON-NET,Smartphone,4G,1
6,2.0,150,5485,ON-NET,Smartphone,4G,1
6,2.0,1033,5531,ON-NET,Smartphone,4G,1
6,2.0,14097,158,ON-NET,Smartphone,4G,1
6,2.0,13327,134,ON-NET,Smartphone,4G,1
6,2.0,206,5489,ON-NET,Smartphone,3G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,1796,5563,ON-NET,Smartphone,4G,1
6,2.0,150,5485,ON-NET,Smartphone,4G,1
6,2.0,1033,5531,ON-NET,Smartphone,4G,1
6,2.0,1796,5563,ON-NET,Smartphone,4G,1
6,2.0,10263,33,ON-NET,Smartphone,4G,1
6,2.0,8354,5771,ON-NET,Smartphone,4G,1
6,2.0,13327,134,ON-NET,Smartphone,4G,1
